index,Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
22,Team Stats,179.0,46.4,10.1,Own 28.9,2:53,6.29,39.3,2.71
22,Opp. Stats,184.0,35.9,10.3,Own 28.2,2:49,6.1,30.2,2.01
22,Lg Rank Offense, ,1.0,25.0,15,10,6.0,1.0,1.0
22,Lg Rank Defense, ,18.0,21.0,12,19,22.0,11.0,21.0
21,Team Stats,181.0,45.9,12.2,Own 28.0,2:44,6.03,34.9,2.5
21,Opp. Stats,181.0,35.9,13.3,Own 27.9,2:57,6.4,32.4,1.85
21,Lg Rank Offense, ,3.0,16.0,23,20,18.0,8.0,7.0
21,Lg Rank Defense, ,20.0,9.0,10,25,25.0,19.0,7.0
20,Team Stats,180.0,47.8,8.9,Own 31.0,2:34,5.82,34.1,2.72
20,Opp. Stats,178.0,33.7,14.0,Own 28.1,2:48,5.9,29.4,1.89
20,Lg Rank Offense, ,6.0,27.0,4,28,28.0,13.0,5.0
20,Lg Rank Defense, ,27.0,4.0,13,17,9.0,6.0,6.0
19,Team Stats,164.0,48.8,7.9,Own 28.8,2:52,6.18,37.0,2.59
19,Opp. Stats,164.0,34.1,13.4,Own 27.0,2:59,6.5,34.0,1.88
19,Lg Rank Offense, ,2.0,29.0,12,5,6.0,3.0,2.0
19,Lg Rank Defense, ,22.0,9.0,7,30,32.0,23.0,15.0
18,Team Stats,184.0,40.8,9.2,Own 29.9,2:42,6.05,34.2,2.27
18,Opp. Stats,187.0,32.6,15.0,Own 29.1,2:28,5.5,30.7,1.75
18,Lg Rank Offense, ,7.0,29.0,8,16,7.0,9.0,8.0
18,Lg Rank Defense, ,29.0,4.0,23,1,4.0,11.0,7.0
17,Team Stats,191.0,40.3,9.4,Own 30.0,2:44,5.81,30.5,2.21
17,Opp. Stats,188.0,27.1,15.4,Own 28.2,2:19,5.3,26.1,1.47
17,Lg Rank Offense, ,7.0,23.0,3,10,14.0,10.0,5.0
17,Lg Rank Defense, ,31.0,4.0,14,2,5.0,5.0,3.0
16,Team Stats,182.0,42.9,4.9,Own 30.9,2:45,6.02,33.9,2.41
16,Opp. Stats,179.0,26.8,11.2,Own 25.0,2:34,5.7,29.0,1.41
16,Lg Rank Offense, ,6.0,32.0,3,7,7.0,6.0,5.0
16,Lg Rank Defense, ,32.0,20.0,1,8,16.0,10.0,2.0
15,Team Stats,199.0,31.2,15.1,Own 25.9,2:27,5.48,28.6,1.58
15,Opp. Stats,201.0,26.9,11.9,Own 29.5,2:26,5.3,22.5,1.38
15,Lg Rank Offense, ,24.0,6.0,27,24,25.0,23.0,24.0
15,Lg Rank Defense, ,31.0,14.0,30,6,2.0,1.0,1.0
14,Team Stats,181.0,45.3,7.2,Own 30.6,2:37,6.13,32.3,2.4
14,Opp. Stats,182.0,32.4,13.2,Own 25.5,2:40,5.9,30.2,1.63
14,Lg Rank Offense, ,2.0,30.0,2,16,4.0,8.0,3.0
14,Lg Rank Defense, ,20.0,12.0,1,20,21.0,15.0,8.0
13,Team Stats,182.0,40.7,9.3,Own 31.0,2:41,5.54,29.7,2.12
13,Opp. Stats,186.0,24.7,19.4,Own 25.8,2:38,5.5,23.4,1.17
13,Lg Rank Offense, ,5.0,27.0,3,6,17.0,12.0,7.0
13,Lg Rank Defense, ,32.0,1.0,6,22,12.0,1.0,1.0
12,Team Stats,193.0,35.8,7.8,Own 27.0,2:22,5.57,29.2,1.88
12,Opp. Stats,192.0,34.9,12.0,Own 27.3,2:42,5.9,29.0,1.67
12,Lg Rank Offense, ,13.0,31.0,19,28,22.0,18.0,15.0
12,Lg Rank Defense, ,14.0,16.0,14,22,26.0,13.0,11.0
11,Team Stats,200.0,32.5,11.5,Own 26.4,2:22,5.26,30.7,1.9
11,Opp. Stats,196.0,34.7,14.8,Own 28.7,2:29,5.6,30.8,1.92
11,Lg Rank Offense, ,16.0,20.0,27,26,26.0,13.0,11.0
11,Lg Rank Defense, ,10.0,7.0,19,10,21.0,22.0,25.0
10,Team Stats,183.0,35.0,10.9,Own 29.8,2:48,5.62,31.3,1.97
10,Opp. Stats,182.0,25.3,16.5,Own 29.1,2:32,5.5,27.0,1.24
10,Lg Rank Offense, ,10.0,23.0,15,8,16.0,8.0,8.0
10,Lg Rank Defense, ,31.0,6.0,12,11,15.0,9.0,2.0
9,Team Stats,185.0,41.6,13.5,Own 31.4,2:44,5.73,34.9,2.44
9,Opp. Stats,194.0,31.4,18.0,Own 28.5,2:25,5.5,29.5,1.64
9,Lg Rank Offense, ,3.0,17.0,6,12,13.0,3.0,2.0
9,Lg Rank Defense, ,17.0,3.0,9,4,19.0,20.0,15.0
8,Team Stats,190.0,32.6,12.6,Own 31.1,2:40,5.51,26.1,1.72
8,Opp. Stats,188.0,22.9,14.4,Own 30.6,2:27,5.3,20.1,1.09
8,Lg Rank Offense, ,21.0,17.0,12,18,20.0,24.0,19.0
8,Lg Rank Defense, ,31.0,10.0,18,5,5.0,1.0,2.0
7,Team Stats,189.0,32.3,17.5,Own 31.5,2:39,5.65,28.1,1.77
7,Opp. Stats,193.0,29.5,12.4,Own 31.3,2:22,5.2,25.2,1.63
7,Lg Rank Offense, ,15.0,6.0,14,14,14.0,15.0,14.0
7,Lg Rank Defense, ,21.0,23.0,19,2,5.0,5.0,16.0
6,Team Stats,156.0,47.4,10.9,Own 28.8,3:02,6.67,38.9,2.65
6,Opp. Stats,156.0,38.5,16.7,Own 30.7,3:07,6.4,34.1,2.08
6,Lg Rank Offense, ,1.0,28.0,27,1,1.0,1.0,1.0
6,Lg Rank Defense, ,3.0,6.0,21,32,32.0,32.0,31.0
5,Team Stats,183.0,36.1,10.9,Own 33.2,2:46,5.41,28.1,2.0
5,Opp. Stats,181.0,27.1,14.9,Own 30.7,2:35,5.7,25.0,1.36
5,Lg Rank Offense, ,7.0,28.0,6,5,25.0,11.0,7.0
5,Lg Rank Defense, ,25.0,13.0,16,17,24.0,9.0,4.0
4,Team Stats,178.0,42.1,14.6,Own 31.4,2:49,6.01,32.1,2.25
4,Opp. Stats,175.0,24.0,20.0,Own 30.8,2:37,5.8,28.4,1.34
4,Lg Rank Offense, ,2.0,14.0,11,6,3.0,7.0,5.0
4,Lg Rank Defense, ,31.0,1.0,15,20,26.0,17.0,4.0
3,Team Stats,204.0,27.9,11.3,Own 33.3,2:29,5.27,24.6,1.47
3,Opp. Stats,200.0,23.0,19.5,Own 30.6,2:23,5.5,23.5,1.11
3,Lg Rank Offense, ,18.0,27.0,5,22,25.0,22.0,19.0
3,Lg Rank Defense, ,32.0,2.0,8,6,18.0,4.0,1.0
2,Team Stats,187.0,32.6,10.7,Own 32.4,2:45,5.67,26.7,1.6
2,Opp. Stats,197.0,17.8,18.3,Own 28.8,2:20,5.0,20.4,0.9
2,Lg Rank Offense, ,18.0,27.0,8,5,14.0,23.0,22.0
2,Lg Rank Defense, ,32.0,4.0,3,3,2.0,1.0,1.0
1,Team Stats,185.0,32.4,14.6,Own 32.6,2:41,5.57,26.2,1.75
1,Opp. Stats,188.0,27.7,17.6,Own 29.8,2:31,5.6,28.4,1.3
1,Lg Rank Offense, ,7.0,14.0,8,7,9.0,19.0,7.0
1,Lg Rank Defense, ,22.0,7.0,7,13,25.0,24.0,6.0
0,Team Stats,195.0,32.8,12.8,Own 36.8,2:44,5.63,25.5,1.58
0,Opp. Stats,194.0,15.5,23.7,Own 28.6,2:12,4.9,20.4,0.79
0,Lg Rank Offense, ,10.0,22.0,1,3,8.0,20.0,14.0
0,Lg Rank Defense, ,31.0,1.0,2,1,1.0,2.0,1.0
