index,Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
22,Team Stats,193.0,94.0,48.7%,12.0,9.0,75.0%,72.0,50.0,69.4%
22,Opp. Stats,222.0,85.0,38.3%,35.0,20.0,57.1%,55.0,37.0,67.3%
22,Lg Rank Offense, , ,2, , ,2, , ,2
22,Lg Rank Defense, , ,13, , ,21, , ,31
21,Team Stats,205.0,90.0,43.9%,19.0,10.0,52.6%,70.0,42.0,60.0%
21,Opp. Stats,223.0,92.0,41.3%,32.0,17.0,53.1%,56.0,29.0,51.8%
21,Lg Rank Offense, , ,7, , ,17, , ,14
21,Lg Rank Defense, , ,21, , ,15, , ,8
20,Team Stats,191.0,83.0,43.5%,14.0,8.0,57.1%,61.0,42.0,68.9%
20,Opp. Stats,205.0,82.0,40.0%,25.0,14.0,56.0%,51.0,32.0,62.7%
20,Lg Rank Offense, , ,11, , ,15, , ,7
20,Lg Rank Defense, , ,14, , ,15, , ,20
19,Team Stats,187.0,89.0,47.6%,10.0,6.0,60.0%,50.0,27.0,54.0%
19,Opp. Stats,202.0,75.0,37.1%,31.0,16.0,51.6%,57.0,29.0,50.9%
19,Lg Rank Offense, , ,1, , ,5, , ,20
19,Lg Rank Defense, , ,12, , ,20, , ,9
18,Team Stats,201.0,82.0,40.8%,14.0,7.0,50.0%,57.0,34.0,59.6%
18,Opp. Stats,197.0,76.0,38.6%,16.0,6.0,37.5%,46.0,27.0,58.7%
18,Lg Rank Offense, , ,13, , ,20, , ,15
18,Lg Rank Defense, , ,16, , ,2, , ,16
17,Team Stats,230.0,96.0,41.7,26.0,17.0,65.4,55.0,36.0,65.5
17,Opp. Stats,205.0,66.0,32.2,18.0,4.0,22.2,38.0,21.0,55.3
17,Lg Rank Offense, , ,8.0, , ,3.0, , ,1.0
17,Lg Rank Defense, , ,3.0, , ,1.0, , ,20.0
16,Team Stats,227.0,104.0,45.8%,12.0,8.0,66.7%,60.0,38.0,63.3%
16,Opp. Stats,206.0,76.0,36.9%,18.0,7.0,38.9%,44.0,23.0,52.3%
16,Lg Rank Offense, , ,4, , ,7, , ,8
16,Lg Rank Defense, , ,7, , ,10, , ,8
15,Team Stats,224.0,79.0,35.3%,14.0,7.0,50.0%,44.0,21.0,47.7%
15,Opp. Stats,227.0,80.0,35.2%,14.0,5.0,35.7%,37.0,22.0,59.5%
15,Lg Rank Offense, , ,25, , ,15, , ,28
15,Lg Rank Defense, , ,7, , ,8, , ,20
14,Team Stats,221.0,98.0,44.3%,13.0,7.0,53.8%,67.0,39.0,58.2%
14,Opp. Stats,209.0,84.0,40.2%,23.0,8.0,34.8%,46.0,22.0,47.8%
14,Lg Rank Offense, , ,6, , ,8, , ,9
14,Lg Rank Defense, , ,16, , ,6, , ,6
13,Team Stats,204.0,76.0,37.3%,11.0,6.0,54.5%,57.0,32.0,56.1%
13,Opp. Stats,216.0,76.0,35.2%,11.0,4.0,36.4%,36.0,13.0,36.1%
13,Lg Rank Offense, , ,17, , ,13, , ,12
13,Lg Rank Defense, , ,10, , ,8, , ,1
12,Team Stats,217.0,80.0,36.9%,14.0,6.0,42.9%,49.0,28.0,57.1%
12,Opp. Stats,232.0,83.0,35.8%,12.0,6.0,50.0%,53.0,23.0,43.4%
12,Lg Rank Offense, , ,20, , ,22, , ,11
12,Lg Rank Defense, , ,7, , ,17, , ,2
11,Team Stats,206.0,77.0,37.4%,13.0,4.0,30.8%,56.0,32.0,57.1%
11,Opp. Stats,220.0,84.0,38.2%,18.0,10.0,55.6%,61.0,34.0,55.7%
11,Lg Rank Offense, , ,14, , ,26, , ,8
11,Lg Rank Defense, , ,17, , ,26, , ,21
10,Team Stats,205.0,85.0,41.5%,13.0,5.0,38.5%,53.0,32.0,60.4%
10,Opp. Stats,213.0,77.0,36.2%,20.0,6.0,30.0%,31.0,15.0,48.4%
10,Lg Rank Offense, , ,8, , ,25, , ,6
10,Lg Rank Defense, , ,9, , ,4, , ,12
9,Team Stats,197.0,88.0,44.7%,15.0,6.0,40.0%,71.0,41.0,57.7%
9,Opp. Stats,216.0,82.0,38.0%,24.0,11.0,45.8%,56.0,22.0,39.3%
9,Lg Rank Offense, , ,6, , ,25, , ,6
9,Lg Rank Defense, , ,14, , ,9, , ,2
8,Team Stats,224.0,92.0,41.1%,12.0,3.0,25.0%,49.0,27.0,55.1%
8,Opp. Stats,226.0,71.0,31.4%,21.0,10.0,47.6%,42.0,14.0,33.3%
8,Lg Rank Offense, , ,14, , ,32, , ,15
8,Lg Rank Defense, , ,1, , ,13, , ,1
7,Team Stats,219.0,91.0,41.6%,17.0,6.0,35.3%,55.0,30.0,54.5%
7,Opp. Stats,211.0,73.0,34.6%,16.0,10.0,62.5%,42.0,25.0,59.5%
7,Lg Rank Offense, , ,12, , ,27, , ,12
7,Lg Rank Defense, , ,5, , ,29, , ,28
6,Team Stats,187.0,105.0,56.1%,4.0,0.0,0.0%,62.0,41.0,66.1%
6,Opp. Stats,191.0,90.0,47.1%,14.0,11.0,78.6%,51.0,30.0,58.8%
6,Lg Rank Offense, , ,1, , ,32, , ,2
6,Lg Rank Defense, , ,32, , ,30, , ,31
5,Team Stats,192.0,68.0,35.4%,12.0,5.0,41.7%,56.0,34.0,60.7%
5,Opp. Stats,232.0,92.0,39.7%,17.0,6.0,35.3%,48.0,23.0,47.9%
5,Lg Rank Offense, , ,23, , ,20, , ,5
5,Lg Rank Defense, , ,20, , ,8, , ,10
4,Team Stats,206.0,93.0,45.1%,10.0,4.0,40.0%,63.0,37.0,58.7%
4,Opp. Stats,209.0,81.0,38.8%,30.0,13.0,43.3%,49.0,20.0,40.8%
4,Lg Rank Offense, , ,5, , ,24, , ,7
4,Lg Rank Defense, , ,21, , ,14, , ,3
3,Team Stats,227.0,84.0,37.0%,14.0,6.0,42.9%,50.0,22.0,44.0%
3,Opp. Stats,235.0,81.0,34.5%,16.0,6.0,37.5%,46.0,18.0,39.1%
3,Lg Rank Offense, , ,15, , ,21, , ,27
3,Lg Rank Defense, , ,7, , ,7, , ,4
2,Team Stats,222.0,79.0,35.6%,9.0,6.0,66.7%,51.0,23.0,45.1%
2,Opp. Stats,223.0,75.0,33.6%,13.0,8.0,61.5%,35.0,12.0,34.3%
2,Lg Rank Offense, , ,26, , ,6, , ,28
2,Lg Rank Defense, , ,3, , ,26, , ,1
1,Team Stats,221.0,91.0,41.2%,17.0,7.0,41.2%,52.0,25.0,48.1%
1,Opp. Stats,215.0,80.0,37.2%,15.0,5.0,33.3%,49.0,19.0,38.8%
1,Lg Rank Offense, , ,8, , ,20, , ,16
1,Lg Rank Defense, , ,15, , ,8, , ,3
0,Team Stats,236.0,95.0,40.3%,6.0,1.0,16.7%,50.0,20.0,40.0%
0,Opp. Stats,211.0,72.0,34.1%,19.0,4.0,21.1%,27.0,8.0,29.6%
0,Lg Rank Offense, , ,13, , ,31, , ,26
0,Lg Rank Defense, , ,5, , ,4, , ,2
